Experiment:OS X High Sierra Chrome 57.0, avg:24.1, avg-interval:23.39, avg+interval:25.0, interval:0.71 std:0.94 
Experiment:OS X Sierra Safari 10.0, avg:22.4, avg-interval:21.71, avg+interval:23.0, interval:0.69 std:0.92 
Experiment:OS X Sierra Chrome 66.0, avg:22.2, avg-interval:21.9, avg+interval:23.0, interval:0.3 std:0.4 
Experiment:OS X Sierra Chrome 65.0, avg:22.6, avg-interval:22.1, avg+interval:23.0, interval:0.5 std:0.66 
Experiment:OS X Sierra Chrome 64.0, avg:22.6, avg-interval:22.23, avg+interval:23.0, interval:0.37 std:0.49 
Experiment:OS X Sierra Chrome 63.0, avg:22.7, avg-interval:22.11, avg+interval:23.0, interval:0.59 std:0.78 
Experiment:OS X Sierra Chrome 60.0 beta, avg:23.0, avg-interval:22.52, avg+interval:23.0, interval:0.48 std:0.63 
Experiment:OS X Sierra Chrome 59.0, avg:22.7, avg-interval:22.11, avg+interval:23.0, interval:0.59 std:0.78 
Experiment:OS X Sierra Chrome 58.0, avg:23.2, avg-interval:22.75, avg+interval:24.0, interval:0.45 std:0.6 
Experiment:OS X Sierra Chrome 57.0, avg:22.5, avg-interval:22.12, avg+interval:23.0, interval:0.38 std:0.5 
Experiment:OS X El Capitan Safari 9.1, avg:22.4, avg-interval:22.03, avg+interval:23.0, interval:0.37 std:0.49 
Experiment:OS X El Capitan Chrome 66.0, avg:22.6, avg-interval:22.1, avg+interval:23.0, interval:0.5 std:0.66 
Experiment:OS X El Capitan Chrome 65.0, avg:22.5, avg-interval:21.8, avg+interval:23.0, interval:0.7 std:0.92 
Experiment:OS X El Capitan Chrome 64.0, avg:22.4, avg-interval:21.8, avg+interval:23.0, interval:0.6 std:0.8 
Experiment:OS X El Capitan Chrome 63.0, avg:22.5, avg-interval:22.12, avg+interval:23.0, interval:0.38 std:0.5 
Experiment:OS X El Capitan Chrome 60.0 beta, avg:23.1, avg-interval:22.57, avg+interval:24.0, interval:0.53 std:0.7 
Experiment:OS X El Capitan Chrome 59.0, avg:22.6, avg-interval:22.1, avg+interval:23.0, interval:0.5 std:0.66 
Experiment:OS X El Capitan Chrome 58.0, avg:22.7, avg-interval:22.35, avg+interval:23.0, interval:0.35 std:0.46 
Experiment:OS X El Capitan Chrome 57.0, avg:22.3, avg-interval:21.95, avg+interval:23.0, interval:0.35 std:0.46 
Experiment:OS X Yosemite Safari 8.0, avg:22.5, avg-interval:21.99, avg+interval:23.0, interval:0.51 std:0.67 
Experiment:OS X Yosemite Chrome 66.0, avg:22.5, avg-interval:22.12, avg+interval:23.0, interval:0.38 std:0.5 
Experiment:OS X Yosemite Chrome 65.0, avg:22.8, avg-interval:22.35, avg+interval:23.0, interval:0.45 std:0.6 
Experiment:OS X Yosemite Chrome 64.0, avg:22.3, avg-interval:21.95, avg+interval:23.0, interval:0.35 std:0.46 
Experiment:OS X Yosemite Chrome 63.0, avg:22.5, avg-interval:22.12, avg+interval:23.0, interval:0.38 std:0.5 
Experiment:OS X Yosemite Chrome 60.0 beta, avg:23.0, avg-interval:22.42, avg+interval:24.0, interval:0.58 std:0.77 
Experiment:OS X Yosemite Chrome 59.0, avg:22.7, avg-interval:22.35, avg+interval:23.0, interval:0.35 std:0.46 
Experiment:OS X Yosemite Chrome 58.0, avg:22.8, avg-interval:22.14, avg+interval:23.0, interval:0.66 std:0.87 
Experiment:OS X Yosemite Chrome 57.0, avg:22.5, avg-interval:22.12, avg+interval:23.0, interval:0.38 std:0.5 
